litv頻道,#genre#

民視台灣台,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv001
民視第一台,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv003
民視綜藝台,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv004
豬哥亮歌廳秀,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv006
中天新聞台,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv009
非凡新聞台,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv010
影迷數位電影台,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv011
視納華仁紀實頻道,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv013
時尚運動X,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv014
達文西頻道,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv018
八大精彩台,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv034
八大綜藝台,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv039
中視,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv040
華視,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv041
公視戲劇,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv042
客家電視台,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv043
靖天卡通台,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv044
靖洋戲劇台,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv045
靖天綜合台,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv046
靖天日本台,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv047
非凡商業台,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv048
采昌影劇台,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv049
台視新聞,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv051
華視新聞,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv052
GINX Esports TV,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv053
Nice TV靖天歡樂台,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv054
靖天映畫,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv055
台視財經,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv056
靖洋卡通Nice Bingo,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv057
靖天戲劇台,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv058
CLASSICA 古典樂,https://4gtv.mytvsuper.xyz/litv/4gtv-4gtv059
